record_id,title,journal,year,article_type,metadata_type,genre_role,doi,metadata_url,doi_url,relevance_domain,selection_reason,verified_date,metadata_source
T060,Computational Data-Driven Materials Discovery,Trends in Chemistry,2021,Journal article (genre unknown),journal-article,unknown,10.1016/j.trechm.2020.12.007,https://api.crossref.org/works/10.1016%2Fj.trechm.2020.12.007,https://doi.org/10.1016/j.trechm.2020.12.007,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check)
T061,How the Shape of Chemical Data Can Enable Data-Driven Materials Discovery,Trends in Chemistry,2021,Journal article (genre unknown),journal-article,unknown,10.1016/j.trechm.2020.12.003,https://api.crossref.org/works/10.1016%2Fj.trechm.2020.12.003,https://doi.org/10.1016/j.trechm.2020.12.003,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check)
T062,Data-Driven Materials Discovery from Large Chemistry Spaces,Matter,2020,Journal article (genre unknown),journal-article,unknown,10.1016/j.matt.2020.07.010,https://api.crossref.org/works/10.1016%2Fj.matt.2020.07.010,https://doi.org/10.1016/j.matt.2020.07.010,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check)
T063,Machine learning-guided synthesis of advanced inorganic materials,Materials Today,2020,Journal article (genre unknown),journal-article,unknown,10.1016/j.mattod.2020.06.010,https://api.crossref.org/works/10.1016%2Fj.mattod.2020.06.010,https://doi.org/10.1016/j.mattod.2020.06.010,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check)
T064,Statistical Characterization of the Morphologies of Nanoparticles through Machine Learning Based Electron Microscopy Image Analysis,ACS Nano,2020,Journal article (genre unknown),journal-article,unknown,10.1021/acsnano.0c06809,https://api.crossref.org/works/10.1021%2Facsnano.0c06809,https://doi.org/10.1021/acsnano.0c06809,drug-delivery-nanomedicine,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T065,Inverse molecular design using machine learning: Generative models for matter engineering,Science,2018,Review,journal-article,review (PubMed publication type verified),10.1126/science.aat2663,https://api.crossref.org/works/10.1126%2Fscience.aat2663,https://doi.org/10.1126/science.aat2663,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T066,Assessing micrometastases as a target for nanoparticles using 3D microscopy and machine learning,Proceedings of the National Academy of Sciences,2019,Journal article (genre unknown),journal-article,unknown,10.1073/pnas.1907646116,https://api.crossref.org/works/10.1073%2Fpnas.1907646116,https://doi.org/10.1073/pnas.1907646116,drug-delivery-nanomedicine,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T067,Machine learning speeds up synthesis of porous materials,Nature,2019,Comment/editorial/letter,journal-article,comment or editorial (PubMed publication type verified),10.1038/d41586-019-00639-3,https://api.crossref.org/works/10.1038%2Fd41586-019-00639-3,https://doi.org/10.1038/d41586-019-00639-3,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T068,Machine learning–assisted molecular design and efficiency prediction for high-performance organic photovoltaic materials,Science Advances,2019,Journal article (genre unknown),journal-article,unknown,10.1126/sciadv.aay4275,https://api.crossref.org/works/10.1126%2Fsciadv.aay4275,https://doi.org/10.1126/sciadv.aay4275,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T069,Machine learning for molecular and materials science,Nature,2018,Review,journal-article,review (PubMed publication type verified),10.1038/s41586-018-0337-2,https://api.crossref.org/works/10.1038%2Fs41586-018-0337-2,https://doi.org/10.1038/s41586-018-0337-2,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T070,Artificial intelligence-driven approaches for materials design and discovery,Nature Materials,2026,Review,journal-article,review (PubMed publication type verified),10.1038/s41563-025-02403-7,https://api.crossref.org/works/10.1038%2Fs41563-025-02403-7,https://doi.org/10.1038/s41563-025-02403-7,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T071,Bridging electron microscopy and materials analysis with an autonomous agentic platform,Science Advances,2026,Journal article (genre unknown),journal-article,unknown,10.1126/sciadv.aed0583,https://api.crossref.org/works/10.1126%2Fsciadv.aed0583,https://doi.org/10.1126/sciadv.aed0583,autonomous-experimentation,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T072,Data‐Driven Accelerated Discovery of LNMCO Cathodes Materials via 37‐Dimensional Parameter Space Mining With a Cascaded Neural Network,Advanced Materials,2026,Journal article (genre unknown),journal-article,unknown,10.1002/adma.74750,https://api.crossref.org/works/10.1002%2Fadma.74750,https://doi.org/10.1002/adma.74750,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T073,Inverse Design of Amorphous Materials With Targeted Properties,Advanced Materials,2026,Journal article (genre unknown),journal-article,unknown,10.1002/adma.202522493,https://api.crossref.org/works/10.1002%2Fadma.202522493,https://doi.org/10.1002/adma.202522493,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T074,Machine Learning−Accelerated Discovery of Proton-Conducting 2D Materials for Proton Exchange Membranes,ACS Nano,2026,Journal article (genre unknown),journal-article,unknown,10.1021/acsnano.5c15161,https://api.crossref.org/works/10.1021%2Facsnano.5c15161,https://doi.org/10.1021/acsnano.5c15161,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T075,"Toward a composable, modular laboratory ecosystem for autonomous materials research and development",Matter,2026,Journal article (genre unknown),journal-article,unknown,10.1016/j.matt.2026.102756,https://api.crossref.org/works/10.1016%2Fj.matt.2026.102756,https://doi.org/10.1016/j.matt.2026.102756,autonomous-experimentation,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check)
T076,Accelerated data-driven materials science with the Materials Project,Nature Materials,2025,Review,journal-article,review (PubMed publication type verified),10.1038/s41563-025-02272-0,https://api.crossref.org/works/10.1038%2Fs41563-025-02272-0,https://doi.org/10.1038/s41563-025-02272-0,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T077,Bayesian Optimization for Multicomponent Supramolecular Systems,Journal of the American Chemical Society,2025,Journal article (genre unknown),journal-article,unknown,10.1021/jacs.5c08539,https://api.crossref.org/works/10.1021%2Fjacs.5c08539,https://doi.org/10.1021/jacs.5c08539,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T078,Extreme nonlinearity by layered materials through inverse design,Science Advances,2025,Journal article (genre unknown),journal-article,unknown,10.1126/sciadv.adr6925,https://api.crossref.org/works/10.1126%2Fsciadv.adr6925,https://doi.org/10.1126/sciadv.adr6925,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T079,Machine learning in chemistry,Proceedings of the National Academy of Sciences,2025,Journal article (genre unknown),journal-article,unknown,10.1073/pnas.2517062122,https://api.crossref.org/works/10.1073%2Fpnas.2517062122,https://doi.org/10.1073/pnas.2517062122,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T080,Machine learning in X-ray diffraction for materials discovery and characterization,Matter,2025,Journal article (genre unknown),journal-article,unknown,10.1016/j.matt.2025.102272,https://api.crossref.org/works/10.1016%2Fj.matt.2025.102272,https://doi.org/10.1016/j.matt.2025.102272,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check)
T081,The role of flow chemistry in self-driving labs,Matter,2025,Journal article (genre unknown),journal-article,unknown,10.1016/j.matt.2025.102205,https://api.crossref.org/works/10.1016%2Fj.matt.2025.102205,https://doi.org/10.1016/j.matt.2025.102205,autonomous-experimentation,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check)
T082,Inverse design of phononic meta-structured materials,Materials Today,2024,Journal article (genre unknown),journal-article,unknown,10.1016/j.mattod.2024.09.012,https://api.crossref.org/works/10.1016%2Fj.mattod.2024.09.012,https://doi.org/10.1016/j.mattod.2024.09.012,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check)
T083,Lipid discovery for mRNA delivery guided by machine learning,Nature Materials,2024,Journal article (genre unknown),journal-article,unknown,10.1038/s41563-024-01934-9,https://api.crossref.org/works/10.1038%2Fs41563-024-01934-9,https://doi.org/10.1038/s41563-024-01934-9,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T084,Remarkable Optoelectronic Characteristics of Synthesizable Square‐Octagon Haeckelite Structures: Machine Learning Materials Discovery,Advanced Functional Materials,2024,Journal article (genre unknown),journal-article,unknown,10.1002/adfm.202402390,https://api.crossref.org/works/10.1002%2Fadfm.202402390,https://doi.org/10.1002/adfm.202402390,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check)
T085,Large language models direct automated chemistry laboratory,Nature,2023,Journal article (genre unknown),journal-article,unknown,10.1038/d41586-023-03790-0,https://api.crossref.org/works/10.1038%2Fd41586-023-03790-0,https://doi.org/10.1038/d41586-023-03790-0,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T086,Machine learning for nanoplasmonics,Nature Nanotechnology,2023,Review,journal-article,review (PubMed publication type verified),10.1038/s41565-022-01284-0,https://api.crossref.org/works/10.1038%2Fs41565-022-01284-0,https://doi.org/10.1038/s41565-022-01284-0,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T087,Scaling deep learning for materials discovery,Nature,2023,Journal article (genre unknown),journal-article,unknown,10.1038/s41586-023-06735-9,https://api.crossref.org/works/10.1038%2Fs41586-023-06735-9,https://doi.org/10.1038/s41586-023-06735-9,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T088,Target‐Driven Design of Deep‐UV Nonlinear Optical Materials via Interpretable Machine Learning,Advanced Materials,2023,Journal article (genre unknown),journal-article,unknown,10.1002/adma.202300848,https://api.crossref.org/works/10.1002%2Fadma.202300848,https://doi.org/10.1002/adma.202300848,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T089,Accelerating the discovery of novel magnetic materials using machine learning–guided adaptive feedback,Proceedings of the National Academy of Sciences,2022,Journal article (genre unknown),journal-article,unknown,10.1073/pnas.2204485119,https://api.crossref.org/works/10.1073%2Fpnas.2204485119,https://doi.org/10.1073/pnas.2204485119,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T090,Experimental discovery of structure–property relationships in ferroelectric materials via active learning,Nature Machine Intelligence,2022,Journal article (genre unknown),journal-article,unknown,10.1038/s42256-022-00460-0,https://api.crossref.org/works/10.1038%2Fs42256-022-00460-0,https://doi.org/10.1038/s42256-022-00460-0,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check)
T091,Innovative Materials Science via Machine Learning,Advanced Functional Materials,2022,Journal article (genre unknown),journal-article,unknown,10.1002/adfm.202108044,https://api.crossref.org/works/10.1002%2Fadfm.202108044,https://doi.org/10.1002/adfm.202108044,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check)
T092,Machine learning–driven multiscale modeling reveals lipid-dependent dynamics of RAS signaling proteins,Proceedings of the National Academy of Sciences,2022,Journal article (genre unknown),journal-article,unknown,10.1073/pnas.2113297119,https://api.crossref.org/works/10.1073%2Fpnas.2113297119,https://doi.org/10.1073/pnas.2113297119,peptides-proteins,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T093,Robust deep learning–based protein sequence design using ProteinMPNN,Science,2022,Journal article (genre unknown),journal-article,unknown,10.1126/science.add2187,https://api.crossref.org/works/10.1126%2Fscience.add2187,https://doi.org/10.1126/science.add2187,peptides-proteins,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T094,Deep learning to design nuclear-targeting abiotic miniproteins,Nature Chemistry,2021,Journal article (genre unknown),journal-article,unknown,10.1038/s41557-021-00766-3,https://api.crossref.org/works/10.1038%2Fs41557-021-00766-3,https://doi.org/10.1038/s41557-021-00766-3,peptides-proteins,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T095,Machine Learning Approaches for Thermoelectric Materials Research,Advanced Functional Materials,2020,Journal article (genre unknown),journal-article,unknown,10.1002/adfm.201906041,https://api.crossref.org/works/10.1002%2Fadfm.201906041,https://doi.org/10.1002/adfm.201906041,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check)
T096,Materializing artificial intelligence,Nature Machine Intelligence,2020,Journal article (genre unknown),journal-article,unknown,10.1038/s42256-020-00262-2,https://api.crossref.org/works/10.1038%2Fs42256-020-00262-2,https://doi.org/10.1038/s42256-020-00262-2,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check)
T097,The Role of Machine Learning in the Understanding and Design of Materials,Journal of the American Chemical Society,2020,Review,journal-article,review (PubMed publication type verified),10.1021/jacs.0c09105,https://api.crossref.org/works/10.1021%2Fjacs.0c09105,https://doi.org/10.1021/jacs.0c09105,materials-discovery-design,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T098,Deep learning adds an extra dimension to peptide fragmentation,Nature Methods,2019,Comment/editorial/letter,journal-article,comment or editorial (PubMed publication type verified),10.1038/s41592-019-0428-5,https://api.crossref.org/works/10.1038%2Fs41592-019-0428-5,https://doi.org/10.1038/s41592-019-0428-5,peptides-proteins,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T099,Deep learning using tumor HLA peptide mass spectrometry datasets improves neoantigen identification,Nature Biotechnology,2019,Journal article (genre unknown),journal-article,unknown,10.1038/nbt.4313,https://api.crossref.org/works/10.1038%2Fnbt.4313,https://doi.org/10.1038/nbt.4313,peptides-proteins,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
T100,Prosit: proteome-wide prediction of peptide tandem mass spectra by deep learning,Nature Methods,2019,Journal article (genre unknown),journal-article,unknown,10.1038/s41592-019-0426-7,https://api.crossref.org/works/10.1038%2Fs41592-019-0426-7,https://doi.org/10.1038/s41592-019-0426-7,peptides-proteins,Topic-relevant AI/materials or biomaterials title from the predefined selective-journal panel; selected with venue and topic caps before DOI-record verification.,2026-08-30,Crossref REST API (search record + DOI record cross-check); PubMed publication-type cross-check
